,Unnamed: 0,Texto,Sentimento
0,0,"quero desejar a todos amigos um    , e creia 2018 será de grandes testemunhos",feliz
1,1,mais um ano ao lado dessas pessoas maravilhosa.   que 2018 venha com muitas alegrias e saúde!,feliz
2,2,"final de tarde perfeito, estou renovada e pronta para 2018    ",feliz
3,3,vamos adorar só aquele que é digno de todo o louvor.      em…,feliz
4,4,jesus! esse é meu sentimento neste dia. passar a…,feliz
5,5,feliz ano novo gente maravilhosa  2018,feliz
6,6,mais um ano que chegou para alegrar a nossa vida trazendo muito amor e paz.uma família unida e abençoada. eu amo vcs. 2018,feliz
7,7,eu só quero que as pessoas que participaram do meu 2017 permaneçam nesse novo ano!,feliz
8,8,cheguei da igreja agora é muito cansado.  ano novo galera e que agente sempre venha tá firme com deus,feliz
9,9,invejo acho que pá mais porra si fudeu mais um ano cheio de vida que meu deus nus deu muita paz com o cidade alta  ano novo,feliz
10,10,recomeçar ... descontração!     em clube fazenda muriqui,feliz
11,11,feliz ano novo!! huuuuu hu   papodebrisado papobrisados remedio,feliz
12,12,novo ano,feliz
13,13,feliz 2018 da família silva!       em condomínio jardins de drulon,feliz
14,14,preparação pra foto! toda família é igual!      em condomínio…,feliz
15,15,vem 2018 noite ótima com família e amigos      em pôrto…,feliz
16,16,"feliz 2018, 365 oportunidades para ser feliz     ",feliz
17,17,"   em bonsucesso, rio de janeiro, brazil ",feliz
18,18,refletindo sempre...........,feliz
19,19,feliz ano novo mundooo!!!,feliz
20,20,repleto de  e  para todos nós!  pelo dia e noite  !!!…,feliz
21,21,feliz ano novo!,feliz
22,22,[2k18.jpg]  em em algum lugar do mundo,feliz
23,23,quando o sashimi te ama.... 2018 em carretão churrascaria -…,feliz
24,24,feliz 2018 sanndra.pm26 phiphe26 pedro_arce26,feliz
25,25,à tous et à toutes!  to all! añonuevo,feliz
26,26,- -“somente o bem feito resiste ao tempo. só o criativo alcança…,feliz
27,27,e assim começa meu 2018,feliz
28,28,quando o sashimi te ama.... 2018 em faenza pizza grill,feliz
29,29,feliz ano novo de 2018.,feliz
30,30,feliz 2018!,feliz
31,31,começando meu 2018 na paz       em serra da cantareira,feliz
32,32,"comecei 2018 assistindo titanic, melhor impossível   ",feliz
33,33,ano novo - um sorriso é a coisa mais bonita que você pode vestir.,feliz
34,34,"carnaval chegando e meu amigos tudo solteiro, aí todos pode ir ",feliz
35,35," ano novo - se você quiser evitar decepções, diminua suas expectativas.",feliz
36,36,feliz por tudoo ano começou muito bem,feliz
37,37,cada vez mais a minha forma de pensar e estar na vida! sejamos felizes com muita saúde e paz !  2018,feliz
38,38,"o mundo é feito de escolhas, e eu escolhi ser  ",feliz
39,39,o amigo que você levaria um tiropra salvar a vida dele e o mesmo que apertaria o gatilho pra te mata. 2018,feliz
40,40,ano novo tudo novo....        @ rio vermelho da bahia,feliz
41,41,ano novo - prefiro que enxerguem em mim erros com arrependimento do que uma falsa perfeição.,feliz
42,42,obrigado senhor por mais um ano que vc deixou eu permanecer de pé obrigado pelos livramento.independente de qualquer citação que vc esteja agradeça a deus por estar vivo por te chegado pelo menos em 2017por que pra chegar no 2018 ainda tem muita batalha !!   !,feliz
