,Texto,Sentimento
0,���⛪ @ Catedral de Santo Antônio - Governador Valadares/MG https://t.co/JSbKamIqUJ,Neutro
1,"� @ Governador Valadares, Minas Gerais https://t.co/B3ThIDJCSf",Neutro
2,"�� @ Governador Valadares, Minas Gerais https://t.co/dPkgzVR2Qw",Neutro
3,��� https://t.co/BnDsO34qK0,Neutro
4,""" bom é bandido morto""
Deputado Cabo Júlio é condenado e fica inelegível por 10 anos - Politica - Estado de Minas https://t.co/3GfAqvrFHS",Neutro
5,"""..E 25% dos mineiros dizem não torcer para time nenhum,mesmo dentro de um estado com Atlético-MG e Cruzeiro. Pq?.."" https://t.co/fN5evlLQsR",Neutro
6,"""A gigantesca barba do mal"" em destaque no caderno Cultura do Estado de Minas. https://t.co/PxNurIkTlw",Neutro
7,"""com vcs bh fica pequena!"" Belo Horizonte (pron. [bɛloɾiˈzõntʃi][10]) é a capital do estado de MG, com uma área de aproximadamente 331 km²",Neutro
8,"""Daí a gente visita governador valadares""
""Que lugar eh esse mãe?""
""MG, a gente tem uns parente la""

MANO onde q eu NÃO tenho parente",Neutro
9,"""É bonita e é bonita..."" 
#latergram #ibituruna #home @ Governador Valadares, Minas Gerais https://t.co/y12TtNqpnH",Neutro
10,"""La La Land: Cantando Estações"" arrasa no Globo de Ouro - Estado de Minas https://t.co/aQ0NG1bp5f https://t.co/aY3qlrVnTE",Neutro
11,"""La La Land: Cantando Estações"" arrasa no Globo de Ouro - Estado de Minas https://t.co/qRI9DCiicc",Neutro
12,"""Los abusos, aun en el estado más sólido, son minas sordas que tarde o temprano estallan"" Joseph Sanial-Dubay",Neutro
13,"""Modelo de segurança será o nosso legado"", diz Cláudio Beato - Politica - Estado de Minas https://t.co/1MqOJo7Nnf",Neutro
14,"""Modelo de segurança será o nosso legado"", diz Cláudio Beato - Politica - Estado de Minas https://t.co/kA09mEn4xN",Neutro
15,"""Modelo de segurança será o nosso legado"", diz Cláudio Beato - Politica - Estado de Minas https://t.co/S97Khxldiu",Neutro
16,"""O governo de Minas Gerais não comentou o assunto. ""

https://t.co/SNYMRfQ737",Neutro
17,"""O governo federal publicou no dia 27 de dezembro de 2016, a Medida Provisória 764/16 que permite a diferenciação... https://t.co/0DlDpZ9WGz",Neutro
18,"""Polícia Federal acaba de divulgar que encontrou provas no apartamento do Lula, mas só até a 4ª série."" Jornal Estado de Minas",Neutro
19,"""Praia da Estação"" lota neste sábado de verão em BH - Gerais - Estado de Minas https://t.co/DpG3CNfZBb",Neutro
20,"""Representando mais uma ferramenta de monitoramento da educação da rede estadual em Minas, a Secretaria de Estado... https://t.co/brsfBqHXlQ",Neutro
21,"""vou postar umas curiosidades sobre o corpo humano""

*o Japão é menor que o estado de minas gerais* ????¿¿¿.?¿",Neutro
22,"#ACORDAMINAS!!!

O governador Fernando Pimentel, depois de ser flagrado usando um helicóptero do Estado de MG... https://t.co/bedW4w4jij",Neutro
